,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal
28,44,F,3,Uneducated,Single,Less than $40K,Blue,34,5,2,10100.0,0
29,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,4785.0,1362
30,53,M,3,Graduate,Married,$80K - $120K,Blue,33,3,2,2753.0,1811
31,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,2451.0,1690
32,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,8923.0,2517
33,53,F,2,College,Married,Less than $40K,Blue,38,5,2,2650.0,1490
34,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,12555.0,1696
35,55,F,1,College,Single,Less than $40K,Blue,36,4,2,3520.0,1914
36,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3035.0,2298
37,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,15433.0,0
38,57,F,1,Graduate,Married,$40K - $60K,Blue,49,3,3,3672.0,886
39,66,F,0,Doctorate,Married,Less than $40K,Blue,56,5,4,7882.0,605
40,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,32426.0,578
41,51,M,2,Graduate,Married,$40K - $60K,Blue,44,4,1,6205.0,2204
42,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,17304.0,2517
43,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,3906.0,0
44,38,F,4,Graduate,Single,Less than $40K,Blue,28,2,3,9830.0,2055
45,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,34516.0,0
46,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,2283.0,1430
47,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2548.0,2020
48,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,19458.0,1435
49,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,4745.0,1227
50,52,F,3,Graduate,Married,Less than $40K,Blue,41,6,3,2622.0,1549
51,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1438.3,808
52,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,3171.0,2179
53,49,M,2,Graduate,Married,$120K +,Blue,36,4,2,19763.0,2517
54,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,15769.0,0
55,49,F,4,Graduate,Married,Less than $40K,Blue,36,6,4,3298.0,2200
56,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,2802.0,2363
57,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,4458.0,1880
58,44,F,5,Graduate,Married,Less than $40K,Blue,35,4,1,6273.0,978
59,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3336.0,1753
60,55,M,3,Graduate,Married,$80K - $120K,Blue,47,4,2,3436.0,2016
61,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,34516.0,0
62,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,5926.0,1251
63,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,23957.0,2102
64,53,M,2,High School,Single,$120K +,Blue,44,4,2,14734.0,1634
65,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,34516.0,1515
66,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,6584.0,1817
67,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,2084.0,1468
68,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,1687.0,1107
69,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,25300.0,1330
70,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,34516.0,1763
71,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,2216.0,1034
72,54,M,1,Graduate,Married,$60K - $80K,Blue,43,4,2,2910.0,2030
73,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,22913.0,1528
74,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,24312.0,1932
75,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,5272.0,1515
76,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,7000.0,2517
77,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,7038.0,1801
78,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2536.0,1823
79,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,28904.0,1899
80,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,8567.0,1695
81,44,M,1,Graduate,Married,$120K +,Blue,36,6,2,34516.0,1533
82,55,F,4,Graduate,Married,$40K - $60K,Blue,45,2,4,2158.0,0
83,59,F,1,Graduate,Married,Less than $40K,Blue,52,2,3,10133.0,1417
84,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,34516.0,1219
85,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,3085.0,1910
86,53,M,2,High School,Single,$120K +,Blue,35,4,2,19040.0,2056
87,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,4026.0,0
88,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,12756.0,837
89,57,M,2,Graduate,Married,$120K +,Blue,45,5,3,5266.0,0
90,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,9930.0,0
91,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,31302.0,1953
92,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,6576.0,0
93,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,2664.0,2037
94,45,F,3,Graduate,Married,Less than $40K,Blue,28,5,1,2535.0,2440
95,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,1709.0,895
96,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,3454.0,1200
97,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,3789.0,1706
98,56,M,3,College,Married,$120K +,Blue,50,3,2,9689.0,2250
99,47,M,2,Graduate,Married,$80K - $120K,Blue,37,2,3,5449.0,1628
100,49,F,3,College,Single,Less than $40K,Blue,43,4,4,23032.0,1960
101,41,F,3,Graduate,Married,Less than $40K,Silver,34,5,3,34516.0,2053
102,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2940.0,1264
103,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3031.0,1879
104,44,M,3,High School,Married,$60K - $80K,Blue,25,3,3,1862.0,0
105,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,8358.0,926
106,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,34516.0,931
107,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,14450.0,2440
108,62,F,1,Graduate,Married,Less than $40K,Blue,56,6,0,1438.3,0
109,54,M,4,Graduate,Divorced,$120K +,Blue,36,6,3,33791.0,1960
110,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,8466.0,1886
111,42,M,3,Graduate,Married,$60K - $80K,Blue,36,5,3,15088.0,865
112,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,3263.0,1674
113,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,1494.0,706
114,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,13551.0,1294
115,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,18886.0,895
116,52,M,3,High School,Married,$80K - $120K,Blue,48,3,2,11976.0,1273
117,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,9964.0,1559
118,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,24159.0,1196
119,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,5362.0,1901
120,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,34516.0,1023
121,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,3174.0,1951
122,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,12262.0,1836
123,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3788.0,1540
124,55,M,2,College,Single,$120K +,Silver,42,2,3,34516.0,1527
125,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2926.0,0
126,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,32090.0,0
127,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,11669.0,2227
128,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,13532.0,1300
129,50,F,1,Uneducated,Married,Less than $40K,Silver,36,4,2,11888.0,2090
130,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2393.0,1985
131,43,M,4,Graduate,Married,$40K - $60K,Blue,39,5,1,6111.0,2517
132,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,19270.0,1662
133,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,3710.0,2517
134,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3235.0,797
135,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,11749.0,788
136,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,7753.0,2100
137,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,10408.0,1186
138,63,F,1,College,Married,Less than $40K,Blue,36,6,2,3967.0,1568
139,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,6205.0,2517
140,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,8025.0,0
141,51,M,1,Graduate,Single,$120K +,Blue,42,6,2,9036.0,2327
142,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,14926.0,2517
143,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,6335.0,1128
144,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,14979.0,0
145,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,2732.0,0
146,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2250.0,2117
147,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,10916.0,1536
148,47,F,4,Graduate,Married,Less than $40K,Blue,36,4,1,5349.0,1228
149,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,9366.0,1104
150,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,21617.0,0
151,68,M,1,Graduate,Married,Less than $40K,Blue,56,5,2,13860.0,1652
152,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,18386.0,0
153,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2405.0,1540
154,53,F,1,College,Married,Less than $40K,Blue,47,4,2,2154.0,930
155,42,F,5,Graduate,Married,$40K - $60K,Blue,36,3,3,2038.0,0
156,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,8135.0,0
157,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,9364.0,618
158,44,F,2,Uneducated,Married,Less than $40K,Silver,35,4,3,32643.0,0
159,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,3195.0,1954
160,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,2852.0,1024
161,59,F,1,College,Single,Less than $40K,Blue,36,2,3,4224.0,1305
162,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,20459.0,2071
163,47,F,4,Graduate,Divorced,Less than $40K,Blue,41,6,5,3482.0,2114
164,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3065.0,1570
165,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2185.0,1761
166,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,1611.0,746
167,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,2822.0,2173
168,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,32975.0,2517
169,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,1438.3,0
170,45,F,4,Uneducated,Divorced,Less than $40K,Blue,36,4,3,15875.0,1719
171,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,6703.0,893
172,53,M,2,Graduate,Married,$80K - $120K,Blue,36,2,2,3212.0,0
173,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1,34516.0,1260
174,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1,9797.0,1434
175,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,10400.0,1777
176,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,26792.0,1836
177,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,3006.0,2517
178,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,19482.0,1072
179,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3356.0,985
180,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,5771.0,2248
181,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,11106.0,2107
182,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,2890.0,2001
183,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,3380.0,1701
184,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,21331.0,1251
185,49,F,3,Uneducated,Single,Less than $40K,Blue,38,6,2,12860.0,0
186,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,6278.0,462
187,60,F,0,College,Single,Less than $40K,Blue,55,5,1,1438.3,738
188,50,F,2,High School,Married,Less than $40K,Blue,36,5,1,9355.0,1626
189,41,F,2,Post-Graduate,Married,Less than $40K,Blue,31,6,1,20758.0,0
190,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,14612.0,1976
191,43,M,4,Graduate,Married,$80K - $120K,Blue,27,5,2,27259.0,0
192,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,6347.0,1594
193,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,21592.0,1676
194,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,3449.0,1598
195,47,F,3,High School,Married,Less than $40K,Blue,34,2,1,6028.0,799
196,41,M,0,High School,Married,$120K +,Blue,36,3,2,18214.0,1998
197,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,16393.0,1423
198,68,M,0,High School,Married,Less than $40K,Blue,52,1,3,1438.3,900
199,59,M,1,College,Married,$60K - $80K,Blue,36,4,1,7871.0,1687
200,48,M,4,Graduate,Married,$80K - $120K,Blue,36,5,3,5288.0,866
201,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5,11376.0,2006
202,48,M,3,College,Married,$80K - $120K,Blue,41,4,5,12302.0,1632
203,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2,34516.0,1679
204,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,34516.0,1468
205,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,10514.0,1580
206,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,1438.3,0
207,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,1438.3,0
208,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1,2619.0,1779
209,58,M,2,College,Married,$120K +,Blue,53,2,3,24407.0,2395
210,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2377.0,1649
211,59,M,0,Graduate,Married,$80K - $120K,Silver,40,3,2,34516.0,1359
212,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,11086.0,2207
213,48,M,3,High School,Single,$60K - $80K,Blue,36,4,2,11432.0,2517
214,43,M,4,High School,Married,$40K - $60K,Blue,36,5,3,13258.0,1721
215,48,M,2,College,Single,Less than $40K,Blue,36,3,2,2571.0,1955
216,43,F,4,Graduate,Single,Less than $40K,Blue,31,5,2,5781.0,1168
217,44,M,4,Graduate,Married,$60K - $80K,Blue,30,5,1,7872.0,2509
218,41,M,3,High School,Married,$80K - $120K,Blue,35,6,1,34516.0,1202
219,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,1,11127.0,1835
220,50,M,2,Graduate,Single,$40K - $60K,Blue,43,2,1,1857.0,1603
221,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1,1913.0,1272
222,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,3,3839.0,2295
223,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2,2115.0,1141
224,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2,1438.3,679
225,41,M,2,High School,Single,$80K - $120K,Blue,28,4,3,27756.0,1789
226,45,M,3,College,Single,$60K - $80K,Blue,32,4,1,1438.3,0
227,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,4,13878.0,2222
228,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3106.0,1304
229,51,M,2,Graduate,Married,$120K +,Blue,44,4,3,34516.0,1666
230,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,4,1438.3,1025
231,57,M,2,Graduate,Married,$80K - $120K,Blue,46,2,3,18871.0,1740
232,41,M,5,Graduate,Single,$120K +,Blue,29,5,2,5207.0,1748
233,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,17965.0,1644
234,43,M,1,College,Single,$60K - $80K,Blue,37,6,3,2733.0,1819
235,55,M,2,College,Married,$60K - $80K,Blue,48,4,3,8863.0,1301
236,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,1857.0,1833
237,44,M,3,Graduate,Married,$80K - $120K,Blue,33,3,3,34516.0,0
238,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,3,11107.0,1222
239,44,M,4,Graduate,Single,$80K - $120K,Blue,34,4,1,21573.0,1585
240,53,F,2,Graduate,Married,Less than $40K,Blue,33,2,3,2859.0,2517
241,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2,5269.0,1475
242,49,M,5,College,Married,$40K - $60K,Blue,45,2,2,1438.3,0
243,45,F,2,College,Married,Less than $40K,Blue,36,1,3,3387.0,0
244,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,2,1982.0,1289
245,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2,4645.0,1650
246,46,F,3,Doctorate,Single,Less than $40K,Blue,36,6,3,2189.0,1666
247,46,M,4,High School,Married,$120K +,Blue,30,3,3,2442.0,0
248,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4,1,21304.0,1532
249,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5,1,7577.0,2480
250,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1,3234.0,1486
251,73,M,0,High School,Married,$40K - $60K,Blue,36,5,3,4469.0,1125
252,56,M,3,Graduate,Married,$40K - $60K,Blue,46,6,3,2910.0,709
253,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3616.0,1054
254,70,M,0,High School,Married,Less than $40K,Blue,56,3,2,3252.0,1495
255,55,F,2,High School,Married,Less than $40K,Blue,36,4,3,2358.0,1152
256,43,M,4,Graduate,Single,$60K - $80K,Blue,36,4,1,22322.0,953
257,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2,3133.0,1510
258,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2,3,3540.0,849
259,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,3,6990.0,1378
260,36,M,2,College,Married,$80K - $120K,Blue,22,2,2,34516.0,1652
261,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,4,1438.3,0
262,43,M,4,Graduate,Married,$60K - $80K,Blue,35,6,3,24396.0,1171
263,46,F,1,Graduate,Married,Less than $40K,Blue,36,2,3,2474.0,2143
264,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5,1,5214.0,795
265,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,2,5207.0,1650
266,51,F,3,Graduate,Married,Less than $40K,Blue,25,2,2,9512.0,1082
267,43,F,4,Graduate,Divorced,Less than $40K,Blue,23,6,3,3187.0,2430
268,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3353.0,0
269,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3,3,2290.0,1434
270,48,M,3,Graduate,Single,$40K - $60K,Blue,43,6,1,5279.0,1115
271,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,5,3,23603.0,0
272,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,6,2,2601.0,0
273,45,M,4,Graduate,Single,$80K - $120K,Blue,40,4,3,6363.0,1029
274,41,M,3,High School,Single,$80K - $120K,Blue,36,4,3,8029.0,1576
275,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2,2,2410.0,1769
276,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,1,3401.0,0
277,42,F,4,Uneducated,Married,Less than $40K,Blue,23,4,2,2260.0,1007
278,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,5,2,17682.0,2481
279,48,F,4,High School,Married,$40K - $60K,Blue,42,3,1,4206.0,1100
280,43,M,1,Graduate,Single,$80K - $120K,Silver,37,4,3,34516.0,1440
281,41,M,4,High School,Married,$80K - $120K,Blue,36,4,3,23018.0,2168
282,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5,2,5556.0,1711
283,54,F,2,High School,Married,Less than $40K,Blue,44,3,3,6094.0,0
284,61,M,0,Graduate,Married,$40K - $60K,Blue,52,3,1,2939.0,1999
285,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,2,1,5362.0,1274
286,48,M,2,High School,Married,$120K +,Blue,36,3,3,27126.0,0
287,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,3342.0,2517
288,54,F,4,Graduate,Married,Less than $40K,Blue,40,6,2,2532.0,2221
289,54,F,3,Doctorate,Married,Less than $40K,Blue,46,2,2,1900.0,1376
290,44,M,3,Graduate,Single,$60K - $80K,Blue,37,2,3,14546.0,1703
291,50,F,4,Doctorate,Single,Less than $40K,Blue,36,2,3,2521.0,1608
292,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,3,4,16427.0,1682
293,48,M,2,Graduate,Married,$40K - $60K,Blue,36,5,1,13068.0,1718
294,45,M,2,College,Single,$60K - $80K,Blue,33,6,3,23218.0,1814
295,60,M,0,High School,Married,$40K - $60K,Blue,36,5,1,3281.0,837
296,55,M,2,High School,Married,$40K - $60K,Blue,47,5,3,3096.0,2217
297,62,F,0,High School,Married,$40K - $60K,Blue,52,5,2,2052.0,1250
298,38,F,1,High School,Married,Less than $40K,Blue,30,2,3,1438.3,583
299,46,M,3,High School,Single,$40K - $60K,Blue,39,2,3,9432.0,1418
300,50,M,0,High School,Single,$120K +,Silver,45,5,2,14938.0,2303
301,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,5,3,2221.0,1343
302,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37,6,3,5731.0,1577
303,48,M,4,College,Married,$60K - $80K,Gold,33,2,2,34516.0,2061
304,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,5,2,6985.0,1130
305,51,M,2,Graduate,Married,$120K +,Blue,42,3,3,24221.0,1707
306,36,F,3,High School,Married,Less than $40K,Blue,24,4,1,15439.0,0
307,47,M,4,Graduate,Single,$80K - $120K,Blue,36,6,3,21637.0,2030
308,52,M,2,Graduate,Single,$120K +,Blue,37,2,3,14543.0,0
309,43,F,4,Uneducated,Married,Less than $40K,Blue,36,2,1,9684.0,2475
310,63,M,2,High School,Married,$40K - $60K,Blue,36,2,2,5007.0,930
311,61,M,0,Graduate,Married,$60K - $80K,Blue,54,3,2,1616.0,1047
312,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,5,2,19116.0,0
313,53,F,3,Graduate,Married,Less than $40K,Blue,47,5,6,2759.0,2223
314,57,M,3,Graduate,Married,$120K +,Blue,38,2,3,8249.0,1381
315,38,F,2,Graduate,Single,Less than $40K,Blue,31,2,3,14041.0,2154
316,53,M,3,High School,Married,$60K - $80K,Blue,43,5,3,5264.0,2169
317,63,F,0,Graduate,Married,Less than $40K,Blue,54,4,2,2420.0,1912
318,49,F,4,High School,Married,Less than $40K,Blue,43,4,2,2826.0,2070
319,45,M,2,High School,Married,$80K - $120K,Blue,34,5,5,12518.0,1539
320,67,M,0,Graduate,Married,$40K - $60K,Blue,56,4,2,5876.0,1297
321,48,M,3,Graduate,Single,$80K - $120K,Silver,37,3,2,34516.0,0
322,51,F,2,Uneducated,Divorced,Less than $40K,Blue,38,4,1,9648.0,1926
323,52,M,2,High School,Single,$80K - $120K,Silver,40,3,3,34516.0,2177
324,55,F,2,Uneducated,Married,Less than $40K,Blue,35,3,3,3025.0,2376
325,34,M,3,High School,Married,$60K - $80K,Blue,26,4,3,3265.0,2517
326,56,M,1,Uneducated,Married,$120K +,Blue,36,3,2,6041.0,1355
327,44,F,2,Post-Graduate,Married,Less than $40K,Blue,36,3,3,2293.0,1823
328,47,M,3,Post-Graduate,Married,$80K - $120K,Blue,36,6,2,13399.0,2505
329,46,F,3,Graduate,Married,Less than $40K,Blue,38,4,3,4317.0,2517
330,43,F,3,Graduate,Single,$40K - $60K,Blue,29,5,2,3378.0,1069
331,50,F,1,Graduate,Single,Less than $40K,Blue,36,4,1,5012.0,2242
332,38,F,4,Uneducated,Single,Less than $40K,Blue,30,4,1,2569.0,1605
333,53,F,1,Graduate,Single,Less than $40K,Blue,45,3,1,3471.0,1785
334,43,M,5,Graduate,Divorced,$120K +,Silver,31,5,3,34516.0,1699
335,53,M,1,High School,Married,$120K +,Blue,36,6,3,3312.0,1844
336,56,F,1,Graduate,Married,Less than $40K,Blue,38,4,3,2578.0,2462
